Fecha_de_publicacion,Nombre_del_producto,Categoria,Subcategoria,Codigo_del_producto,URL,Precio_publicado,Precio_regular,Stock,Descripcion
2023-05-29T00:00:00Z,Cable de audio y video RCA,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,/Tecnología/TV Y VIDEO/,420393,https://www.hiperlibertad.com.ar/cable-de-audio-y-video-rca/p,1059.0,1059.0,1.0,Cable de audio y video RCA
2023-05-29T00:00:00Z,PACK ANTENA DIRECTV 0.60 FULL,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,/Tecnología/TV Y VIDEO/,282556,https://www.hiperlibertad.com.ar/kit-antena-directv-prepago-60-cm/p,2999.0,5999.0,24.0,
2023-05-23T00:00:00Z,"SMART  TV 50"" 4K LG 50UP7750",/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,485199,https://www.hiperlibertad.com.ar/televisor-smart-tv-lg-50-pulgadas-4k-50up7750/p,184999.0,184999.0,2.0,"<p style=""text-align: center;""><strong>SMART TV 50"" 4K LG 50UP7750</strong><br />Una inmersi&oacute;n sin precedentes. <br />Los televisores LG UHD 4K superan tus expectativas en todo momento. Experimenta una calidad de imagen real y colores vivos con una precisi&oacute;n de p&iacute;xeles cuatro veces superior a la de Full HD. Rendimiento de &eacute;xito garantizado. <br />Lleva el cine a casa. FILMMAKER MODE, Dolby Vision IQ y Dolby Atmos, y HDR te ofrecen una experiencia de visualizaci&oacute;n m&aacute;s envolvente. <br /><br />Conecta tus plataformas de transmisi&oacute;n favoritas para acceder a los contenidos que te gustan. - Hogar de todos tus favoritos. <br />Accede a la aplicaci&oacute;n Apple TV, Disney+ y Netflix. Elige entre las &uacute;ltimas pel&iacute;culas, programas de televisi&oacute;n, documentales y deportes en vivo, y encu&eacute;ntralos en un solo lugar.<br />La visi&oacute;n del director cobra vida. FILMMAKER MODE desactiva el suavizado de los movimientos mientras conserva las relaciones de aspecto, los colores y las frecuencias de los cuadros de v&iacute;deo originales. <br />De este modo, puede transmitirse con exactitud la visi&oacute;n original del director, con la posibilidad de experimentar la pel&iacute;cula tal cual se la concibi&oacute;.<br /><br />Pulgadas 50""<br />Resoluci&oacute;n de video 4K<br />Resoluci&oacute;n de pantalla 3840 x 2160 px<br />Sintonizador Digital TDA Si<br />HDR Active HDR HDR 10 Pro HLG<br />Frecuencia de refresco 60 Hz<br />Entradas USB 2<br />Entradas HDMI 3<br />Bluetooth 5.0<br />Puerto de red Si<br />Tipo de sonido Est&eacute;reo<br />Salida de audio &oacute;ptico digital Si<br />Sistema operativo WebOS 6.0<br />Aplicaciones Netflix, Youtube, Disney +, Prime Video, Alexa Lit, Apple TV<br />Netflix S&iacute;<br />Wi-Fi Si<br />Control remoto Magic Remote<br />Medidas VESA 300x300<br />Alto con base 71,3 cm<br />Ancho con base 112,1 cm<br />Profundidad con base 23,1 cm<br />Peso con base 11,9 kg<br />Alto de la caja 78,3 cm<br />Ancho de la caja 121,7 cm<br />Profundidad de la caja 17,7 cm<br />Peso de la caja 12,9 kg<br />Tipo de pantalla LED<br />Tipo de producto Smart TV<br />Modelo 50UP7750<br />Color Negro<br />Alto 78,3 cm<br />Ancho 121,7 cm<br />Profundidad 17,7 cm<br />Peso 12,9 kg<br />Incluye TV - Base - Magic remote - Cable de alimentaci&oacute;n<br />Otras caracter&iacute;sticas Amplio angulo de vision | Procesador: &alpha;5 Gen4 AI 4K Processor | Active HDR HDR 10 Pro | HGiG Optimizador de videojuegos | Filmaker Mod</p>"
2023-05-23T00:00:00Z,SMART 43 LG 43LM6350PSB,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,462668,https://www.hiperlibertad.com.ar/smart-tv-43-pulgadas-lg-full-hd-43lm6350psb/p,119999.0,119999.0,1.0,SMART 43 LG 43LM6350PSB
2023-05-29T00:00:00Z,"SMART 50"" RCA AND50P6UHD ANDROID",/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,505290,https://www.hiperlibertad.com.ar/smart-50-rca-and50p6uhd-androi/p,114999.0,114999.0,1.0,"<p>Un mundo de entretenimiento. Con la ayuda de Google, explora el contenido de todas tus aplicaciones, organizado de forma inteligente solo para vos. Google TV se basa en lo que has visto para recomendarte qu&eacute; disfrutar a continuaci&oacute;n.</p> <ul> <li>Google Play</li> <li>Chromecast Integrado</li> <li>Google Assistant</li> <li>Dolby Audio</li> </ul> <ul class=""no-list product-specification-list clearfix""> <li> <h3>Especificaciones t&eacute;cnicas</h3> <ul class=""no-list product-specification-sublist""> <li>Entradas:</li> <li>1 RF (75 ohms) Antena/Cable</li> <li>1 Video AV</li> <li>1 Audio R/L</li> <li>3 HDMI</li> <li>1 USB</li> <li>1 LAN</li> <li>Salidas:</li> <li>1 Auricular</li> <li>1 Audio S/PDIF &Oacute;ptica ( Audio Digital)</li> <li>Tensi&oacute;n de alimentaci&oacute;n:</li> <li>100-240V~ 50/60Hz 50W</li> </ul> </li> <li> <h3>Im&aacute;gen</h3> <ul class=""no-list product-specification-sublist""> <li>Diagonal Pantalla: 50""</li> <li>Resoluci&oacute;n (pixeles) 3840&times;2160</li> </ul> </li> <li> <h3>Sonido</h3> <ul class=""no-list product-specification-sublist""> <li>Parlantes Integrados 2</li> <li>Potencia de salida de audio 2 x 9.5 Watts</li> <li>Sistema de sonido MTS (ESTEREO/MONO/SAP)</li> </ul> </li> <li> <h3>Accesorios</h3> <ul class=""no-list product-specification-sublist""> <li>Manual con Garant&iacute;a : Si</li> <li>Control remoto Infrarojo : Si</li> <li>Tornillos : Si</li> <li>Cable alimentaci&oacute;n : Si</li> <li>Soporte base : Si</li> <li>Cable adaptador de se&ntilde;al:Si</li> </ul> </li> <li> <h3>Medidas</h3> <ul class=""no-list product-specification-sublist""> <li>Medidas con soporte de mesa:</li> <li>Ancho (cm.) 111,2</li> <li>Alto (cm.) 70,0</li> <li>Profundidad (cm.) 26,5</li> <li>Peso (kg.) 8,4</li> </ul> </li> </ul>"
2023-05-29T00:00:00Z,SMART LED TV LG 50 PULGADAS 4K UHD 50UQ8050PSB,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,504028,https://www.hiperlibertad.com.ar/smart-50-lg-50uq8059/p,166249.05,184999.0,5.0,"<p>&nbsp;</p> <div class=""more-box""> <p cong="""" style=""text-align: center;""><strong>Caracter&iacute;sticas principales</strong></p> </div> <div class=""expand-layer"" aria-expanded=""false""> <div class=""feature-list-box""> <ul class=""feature-list on""> <li style=""text-align: left;"">Panel 4K UHD</li> <li style=""text-align: left;"">4K Procesador Inteligente &alpha;5 generaci&oacute;n 5</li> <li style=""text-align: left;"">4K Active HDR</li> <li style=""text-align: left;"">Ultra Surround</li> <li style=""text-align: left;"">LG ThinQ AI: Inteligencia Artificial</li> <li style=""text-align: left;"">Procesador4K Procesador Inteligente &alpha;5 generaci&oacute;n 5</li> <li style=""text-align: left;"">Resoluci&oacute;n3840 x 2160</li> <li style=""text-align: left;"">Inteligencia artificial S&iacute;: LG ThinQ AI</li> <li style=""text-align: left;"">MEDIDAS TV CON BASE: Alto: 71.3 cm - Ancho: 112.1 cm - Profundidad: 23.1 cm</li> <li style=""text-align: left;"">MEDIDAS TV SIN BASE: Alto: 65.1 cm - Ancho: 112.1 cm - Profundidad: 5.71 cm</li> <li style=""text-align: left;"">PESO: Con base: 11.9 Kg - Sin base: 11.7 Kg</li> </ul> </div> </div> <p></p>"
2023-05-23T00:00:00Z,"SMART TV 43"" PULGADAS PHILIPS FHD BLANCO 43PFD6927",/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,492247,https://www.hiperlibertad.com.ar/smart-tv-43-pulgadas-philips-fhd-blanco-43pfd6927/p,115999.0,174169.0,3.0,"<p style=""text-align: center;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Este televisor Philips de 43"" color blanco encaja a la perfecci&oacute;n en cualquier parte. Las im&aacute;genes son n&iacute;tidas; el sonido, claro; y encima es inteligente: Android TV de Philips.</p><div class=""p-chapter-container""><dl class=""p-s08__main-list""><dd><div class=""p-body-copy-02 ""><dl class=""p-s08__main-list""><dd><div class=""p-body-copy-02 ""><p style=""text-align: center;""><br /><strong>Compacto y elegante.</strong><br /><br /><strong>Android TV LED FHD</strong></p><p style=""text-align: center;""><strong>108 cm (43"")</strong><br /><strong>Sonido Dolby Atmos</strong><br /><strong>Android/Control por voz con IA</strong><br /><strong>Control por voz. </strong><br /><strong>El Asistente de Google.</strong></p><p style=""text-align: center;"">Admite barras de sonido compatibles con Dolby Atmos.</p><p style=""text-align: center;"">Sencillamente inteligente. Android TV.</p><h3 style=""text-align: center;"">Especificaciones t&eacute;cnicas</h3><p style=""text-align: center;""><strong>Imagen / pantalla</strong><br /><strong>Pantalla</strong></p><p style=""text-align: center;"">Resoluci&oacute;n de panel 1920 x 1080p<br />Relaci&oacute;n de aspecto 16:9<br />Optimizaci&oacute;n de la imagen<br />HDR10<br />HLG (Hybrid Log Gamma)<br />Pixel Plus alta definici&oacute;n<br />Tama&ntilde;o diagonal de pantalla (pulgadas) 43<br />Tama&ntilde;o de pantalla en diagonal (m&eacute;trico) 108<br /><br /><strong>Sintonizador/recepci&oacute;n/transmisi&oacute;n</strong></p><p style=""text-align: center;"">Compatibilidad con MPEG<br />MPEG2<br />MPEG4<br />Reproducci&oacute;n de video<br />PAL<br />SECAM<br />NTSC<br />Gu&iacute;a de programaci&oacute;n de televisi&oacute;n*<br />Gu&iacute;a electr&oacute;nica de programaci&oacute;n de 8 d&iacute;as<br />TV digital<br />ISDB-T<br />Compatibilidad HEVC S&iacute;<br /><br /><strong>Conectividad</strong></p><p style=""text-align: center;"">Cantidad de conexiones HDMI 3<br />Cantidad de puertos USB 2<br />Otras conexiones<br />Salida de auriculares<br />Antena IEC75<br />Conector de servicio<br />Salida de audio digital (&oacute;ptica)<br />Ethernet-LAN RJ-45<br />Conexi&oacute;n inal&aacute;mbrica<br />Bluetooth 5.0<br />Wi-Fi 802.11n, 2x2, doble banda<br />Funciones HDMI<br />Audio Return Channel<br />EasyLink (HDMI-CEC)<br />Reproducci&oacute;n con un solo bot&oacute;n<br />Control remoto de gran alcance<br />Control de audio del sistema<br />Modo de espera del sistema<br />HDCP 2.3<br />S&iacute; en todas las conexiones HDMI<br />HDMI ARC<br />S&iacute;, en la conexi&oacute;n HDMI1<br />Salida de sonido digital SPDIF<br />1 (&oacute;ptica)<br /><br /><strong>Aplicaciones multimedia</strong></p><p style=""text-align: center;"">Formatos de reproducci&oacute;n de video<br />Contenedores: AVI, MKV<br />H264/MPEG-4 AVC<br />MPEG-1<br />MPEG-2<br />MPEG-4<br />VP9<br />AV1<br />HEVC (H.265)<br /><strong>Formatos de subt&iacute;tulos compatibles</strong><br />.SMI<br />.SRT<br />.SUB<br />.TXT<br />.ASS<br />.SSA<br /><strong>Formatos de reproducci&oacute;n de m&uacute;sica</strong><br />AAC<br />MP3<br />WAV<br />WMA (v2 hasta v9.2)<br />WMA-PRO (v9 y v10)<br /><br /><strong>Formatos de reproducci&oacute;n de imagen</strong><br />JPEG<br />GIF<br />PNG<br />HEIF<br />BMP<br /><br /><strong>Alimentaci&oacute;n</strong><br />CA 110-240 V 50/60 Hz<br />Consumo de energ&iacute;a en modo de espera<br />&lt;0,5W<br />Temperatura ambiente<br />5 &deg;C a 35 &deg;C<br />Funciones de ahorro de energ&iacute;a<br />Timer de apagado autom&aacute;tico<br />Modo ecol&oacute;gico<br />Sensor de luz<br />Silenciamiento de imagen (para radio)<br /><br /><strong>Sonido</strong></p><p style=""text-align: center;"">Potencia de salida (RMS)<br />16 W<br />Configuraci&oacute;n del parlante<br />Altavoz de 8 W x2<br />Optimizaci&oacute;n del sonido<br />Nivelador autom&aacute;tico de volumen<br />Di&aacute;logo n&iacute;tido<br />Dolby Atmos<br />Mejora de graves Dolby<br /><br /><strong>Dimensiones</strong></p><p style=""text-align: center;"">Ancho de la caja 1070<br />Altura de la caja 650<br />Profundidad de la caja 140<br />Ancho del equipo 958<br />Altura del equipo 568<br />Profundidad del equipo 82<br />Ancho del producto (con soporte) 958<br />Altura del producto (con soporte) 587<br />Profundidad del producto (con soporte) 227<br />Peso del producto 7,2<br />Peso del producto (+ soporte) 7,13<br />Peso con embalaje incluido 9,4<br />Compatible con soporte de pared 100 x 200 mm<br /><br /><strong>Accesorios</strong></p><p style=""text-align: center;"">Accesorios incluidos<br />2 pilas AAA<br />Cable de alimentaci&oacute;n<br />Gu&iacute;a de inicio r&aacute;pida<br />Folleto legal y de seguridad<br />Soporte para la mesa<br />Control remoto<br /><br /><strong>Android TV</strong></p><p style=""text-align: center;"">Sistema operativo<br />Android TV&trade; 10 (Q)<br />Aplicaciones preinstaladas<br />YouTube<br />Amazon Prime Video<br />Disney+<br />Google Play Movies<br />Google Play Music<br />B&uacute;squeda de Google<br />YouTube Music<br />Netflix<br />Tama&ntilde;o de la memoria (flash) 8 GB</p></div></dd></dl></div></dd></dl></div><p style=""text-align: center;""><span>&nbsp;</span></p>"
2023-05-23T00:00:00Z,SMART TV ANDROID PHILIPS 50 PULGADAS 4K UHD 50PUD7406/77,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,482038,https://www.hiperlibertad.com.ar/smart-50-philips-50pud7406-77/p,164863.2,206079.0,16.0,"<p style=""text-align: center;""><strong>Sistema Operativo Android 10</strong><br /><strong>Modelo 50PUD7406/77&nbsp;</strong><br />Control por voz con el Asistente de Google.<br />HDR para im&aacute;genes brillantes.<br />Dise&ntilde;o atractivo y ultra fino, con marco negro mate Dolby Vision y Dolby Atmos para visi&oacute;n y sonido cinematogr&aacute;fico.<br />Se puede personalizar la pantalla de inicio para mostrar las apps preferidas, facilitando la reproducci&oacute;n de las pel&iacute;culas y los programas favoritos<br />Ideal para jugar con cualquier consola gracias a su bajo tiempo de latencia<br />Garant&iacute;a: 1 a&ntilde;o <br />Origen: Argentina.<br /><br /><strong>CARACTER&Iacute;STICAS DE PANTALLA</strong><br />Pulgadas 50<br />Resoluci&oacute;n De Video 4K Ultra HD<br />Resoluci&oacute;n 3840x2160<br />Radio De Aspecto 16:9<br />Tipo de TV Smart TV<br /><br /><strong>FUNCIONES ESPECIALES</strong><br />Smart Tv Si<br />Youtube Si<br />Netflix Si<br /><br /><strong>SONIDO</strong><br />Parlantes 2<br />Potencia De Parlantes 20 W<br /><br /><strong>CONECTIVIDAD</strong><br />Puerto Ethernet Si<br />Salida Para Auriculares Si<br />Bluetooth Si<br />Entradas Hdmi 4<br />Entradas Usb 2<br />OBSERVACIONES<br />Garantia 12 Meses<br /><br /><strong>PANTALLA</strong><br />Tipo De Pantalla LED<br /><br /><strong>DIMENSIONES</strong><br />Ancho 111.3 Cm<br />Profundidad 8.7 Cm<br />Alto 64.7 Cm<br /><br /><strong>DIMENSIONES (CON BASE)</strong><br />Alto (con Base) 67 Cm<br />Ancho (con Base) 111 Cm<br />Profundidad (con Base) 24.8 Cm</p>"
2023-05-23T00:00:00Z,SMART TV ANDROID PHILIPS 65 PULGADAS 65OLED707/77,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,494270,https://www.hiperlibertad.com.ar/smart-tv-android-philips-65-pulgadas-65oled707-77/p,730449.0,730449.0,1.0,"La imagen realista que querés en nuestro televisor OLED más asequible. Juegos con capacidad de respuesta que te mantienen a la cabeza de la acción. Sonido emocionante para programas, películas y mucho más. Independientemente de lo que te guste, el envolvente Ambilight lo mejora. <p><span style=""text-decoration: underline;""><strong>Caracter&iacute;sticas:</strong></span></p><p>- Modelo: FR2520 GP HC A2<strong></strong></p><p>- Color: plata</p><p>- 4 fr&iacute;os<strong></strong></p><p>- Volumen:&nbsp; 224 lt</p><p>- Ancho:&nbsp; 945 mm</p><p>- Profundidad:&nbsp; 700 mm</p><p>- Alto: 840 mm</p><p>- Clasificaci&oacute;n energ&eacute;tica: Clase A</p>"
2023-05-23T00:00:00Z,SMART TV HYUNDAI ANDROID 50 PULGADAS ULTRA HD HYLED,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,/Tecnología/TV Y VIDEO/,472074,https://www.hiperlibertad.com.ar/smart-tv-hyundai-android-50-pulgadas-ultra-hd-hyled/p,150999.0,150999.0,11.0,"<p style=""text-align: center;""><strong>Smart TV 50"" 4K UHD Hyundai HYLED-50UHD</strong></p> <p style=""text-align: center;""><strong>Caracter&iacute;sticas T&eacute;cnicas</strong><br />Imagen<br />Pulgadas 50<br />Resoluci&oacute;n 3840x2160<br />Formato de pantalla Plano<br /><br /><strong>Caracter&iacute;sticas Generales</strong><br />Smart TV S&iacute;<br /><br /><strong>Caracteristicas Smart</strong><br />Youtube S&iacute;<br />Netflix S&iacute;<br />Conectividad<br />Entradas HDMI 3<br />Entradas USB 1<br />HDMI ARC S&iacute;<br /><br /><strong>Que Incluye?</strong><br />Control Remoto S&iacute;<br /><br /><strong>Dimensiones</strong><br />Alto 757.9 mm<br />Ancho 1303 mm<br />Profundidad 86 mm<br />Profundidad (con base) 258.8 mm<br />Peso 14,5 kg<br /><br /></p>"
